,LV,Damage,BulletDelay,RerodeDelay,Magazine,MaxAmmo,dir_ran_min,dir_ran_max
TestGun,,,,,,,,
,1,3,1,1,10,100,1,1
,2,4,1,1,15,150,0.9,0.9
,3,5,0.9,0.9,20,200,0.8,0.8
,4,6,0.9,0.9,25,250,0.7,0.7
,5,7,0.8,0.8,30,300,0.6,0.6
,6,8,0.8,0.8,35,350,0.5,0.5
,7,9,0.7,0.7,40,400,0.4,0.4
,8,10,0.7,0.7,45,450,0.3,0.3
,9,11,0.6,0.6,50,500,0.2,0.2
,10,12,0.6,0.6,55,550,0.1,0.1
,,,,,,,,
TestGun2,,,,,,,,
,1,1,0.2,3,100,1000,1,1
,2,1,0.2,3,100,1100,1,1
,3,1,0.2,3,100,1200,1,1
,4,1,0.15,3,200,1300,1,1
,5,1,0.15,3,200,1400,1,1
,6,1,0.15,3,200,1500,1,1
,7,1,0.1,3,300,1600,1,1
,8,1,0.1,3,300,1700,1,1
,9,1,0.1,3,300,1800,1,1
,10,1,0.05,3,500,1900,1,1
